typeID,type,part,instruction,answer_format,format,key_skills,avg_duration,avg_script_length,key_features,audio_speed
T001,Table Completion,1,Complete the table below.,Write ONE WORD AND / OR A NUMBER for each answer.,conversation or interview between 2 speakers,listening for specific details in everyday contexts,3-4 min,500-700 words,everyday topics. Slow and clear speech,slower
T002,Form Completion,1,Complete the form below.,Write ONE WORD AND / OR A NUMBER for each answer.,conversation or interview between 2 speakers,listening for specific details in everyday contexts,3-4 min,500-700 words,everyday topics. Slow and clear speech,slower
T003,Plan Labelling,1,Label the plan below.,"Write the correct letter, A-I.",conversation or interview between 2 speakers,listening for specific details in everyday contexts,3-4 min,500-700 words,everyday topics. Slow and clear speech,slower
T004,Map Labelling,2,Label the map below.,"Write the correct letter, A-I.",talk or announcement given by one person,identifying factual information and following directions,3-4 min,600-800 words,information-based,slightly faster
T005,Multiple Choice,2,Question,"Choose TWO letters, A-E.",talk or announcement given by one person,identifying factual information and following directions,3-4 min,600-800 words,information-based,slightly faster
T006,Matching,2,Question,"Choose FIVE answers from the box and write the correct letter, A-G.",talk or announcement given by one person,identifying factual information and following directions,3-4 min,600-800 words,information-based,slightly faster
T007,Multiple Choice,3,Question,"Choose the correct letter, A, B or C.",student(s) with tutor discussing assignments or projects,"understanding attitudes, agreements and academic vocabulary",4-5 min,800-1000 words,university-related with opinions or arguments,faster
T008,Flow Chart Completion,3,Complete the flow chart below.,"Choose SIX answers from the box and write the correct letters, A-I.",student(s) with tutor discussing assignments or projects,"understanding attitudes, agreements and academic vocabulary",4-5 min,800-1000 words,university-related with opinions or arguments,faster
T009,Sentence Completion,4,Complete the XXX below.,Write NO MORE THAN TWO WORDS for each answer.,university-style lecture (One speaker only),"following complex ideas, academic terms and speaker’s opinion",5-6 min,1000-1200 words,complex topic with formal vocabulary,fastest
T010,Sentence Completion,4,Complete the XXX below.,Write ONE WORD ONLY for each answer.,university-style lecture (One speaker only),"following complex ideas, academic terms and speaker’s opinion",5-6 min,1000-1200 words,complex topic with formal vocabulary,fastest
T011,Note Completion,4,Complete the note below.,Write ONE WORD AND / OR A NUMBER for each answer.,university-style lecture (One speaker only),"following complex ideas, academic terms and speaker’s opinion",5-6 min,1000-1200 words,complex topic with formal vocabulary,fastest